n,sum_iter,sum_direct,sum2_iter,sum2_direct,sum3_iter,sum3_direct
1015013,0.000750,0.000000,0.001000,0.000000,0.001000,0.000000
2001753,0.001750,0.000000,0.002000,0.000000,0.002250,0.000000
3020842,0.002500,0.000000,0.003250,0.000000,0.003250,0.000000
4008541,0.003250,0.000000,0.004500,0.000000,0.004250,0.000000
5011007,0.004000,0.000000,0.005500,0.000000,0.005500,0.000000
6018521,0.004750,0.000000,0.006250,0.000000,0.007000,0.000000
7003445,0.005500,0.000000,0.007250,0.000000,0.007750,0.000000
8017109,0.006500,0.000000,0.008500,0.000000,0.009250,0.000000
9016393,0.007000,0.000000,0.009500,0.000000,0.010500,0.000000
10011811,0.008000,0.000000,0.010750,0.000000,0.011750,0.000000
